# part_no|part_title|clause|title|tags
# tags: P=permit trigger, N=notice to comply/directive power, I=infringeable conduct, D=definitional/machinery, X=superseded risk
1|Preliminary|1|Name and Objectives of Local Law|D
1|Preliminary|2|Authorising Provision of this Local Law|D,X
1|Preliminary|3|Commencement of this Local Law|D
1|Preliminary|4|Revocation Date of this Local Law|D,X
1|Preliminary|5|Definition of Words Used in this Local Law|D,X
1|Preliminary|6|Application of the Local Law|D
1|Preliminary|7|Council Positions|D
1|Preliminary|8|Conflict with Other Legislation|D
2|Administration of this Local Law|9|Exercise of Discretions|D
2|Administration of this Local Law|10|Register of Determinations|D
2|Administration of this Local Law|11|Direction of Council: Notice to Comply|N
2|Administration of this Local Law|12|Time to Comply|N
2|Administration of this Local Law|13|Service of Notice to Comply|N
2|Administration of this Local Law|14|Failure to Comply with a Notice to Comply|N,I
2|Administration of this Local Law|15|Power of Authorised Officers to Act in Urgent Circumstances|N
2|Administration of this Local Law|16|Appeals|D
2|Administration of this Local Law|17|Compliance with Directions and Notices|N
2|Administration of this Local Law|18|Delegations and Authorisations|D
2|Administration of this Local Law|19|Incorporation of Documents|D
3|The Common Seal|20|Purpose of the Common Seal|D,X
3|The Common Seal|21|Who Keeps the Common Seal|D,X
3|The Common Seal|22|Signatures to Accompany the Common Seal|D,X
3|The Common Seal|23|Affixing the Common Seal|D,X
3|The Common Seal|24|Unauthorised Use of the Common Seal|I,X
5|Management of Drains|104|Interference with Council Drains, Sewers or Similar|P,I
5|Management of Drains|105|Maintenance of Drains|N
5|Management of Drains|106|Drainage of Properties|N
6|Vehicle Crossings|107|Vehicle Crossings|N,I
6|Vehicle Crossings|108|Temporary Vehicle Crossings|N,I
6|Vehicle Crossings|109|Repair of Vehicle Crossings|N
7|Protection of Council Land|110|Defacing/Damaging Council Land|P,I
7|Protection of Council Land|111|Lighting Fires|P,I
7|Protection of Council Land|112|Trees or Plants Causing Damage to Council Land|N
7|Protection of Council Land|113|Trees and Plants on Council Land|P,I
7|Protection of Council Land|114|Temporary Buildings on a Road|P,I
7|Protection of Council Land|115|Damage to Kerbs, Paths and Other Assets from Building Work|P,I
8|Use of Municipal Places|116|Prohibition of Entry|P,I
8|Use of Municipal Places|117|Behaviour|I
